Date,Motor Current A,Motor Current B,Suction Press A,Suction Press B,Discharge Press A,Discharge Press B,Controller SP A,Controller SP B,Bypass OP A,Bypass OP B,Filter DP A,Filter DP B,Vibration A1,Vibration A2,Vibration A3,Vibration A4,Bearing Temp A1,Bearing Temp A2,Vibration B1,Vibration B2,Vibration B3,Vibration B4,Bearing Temp B1,Bearing Temp B2,Total Flow,Discharge Temp A,Discharge Temp B,Suction Temp
2025-05-01 03:59:59,113.471875,0,88.00052083333334,94.99930555555555,84.99833333333333,85.07645833333333,85,95,0,70,0.0011270408811754485,0.000052656862066769774,0.9289431700304631,0.8330443298392259,0.06701146767588154,0.09590662269880526,6.344548611111111,5.000250868055556,,,,,,,20076.698659358448,111.4809375,,
2025-05-02 03:59:59,114.23201388888889,0,88.71024305555555,94,84.99861111111112,85.17305555555555,85,95,0,70,0.0012085126908275463,0.00007227327958677191,0.8942242168893416,0.8243307230828537,0.07786399700278668,0.1742136530404376,13.266111111111112,12.4175,,,,,,,20460.98943231667,115.92857638888889,,
2025-05-03 03:59:59,112.04413194444444,0,89.04017361111111,93,85.00555555555556,85.16472222222222,85,95,0,70,0.0011971066547258199,0.00008386698570432357,0.8455004831216195,0.8611608129228047,0.06804088086937285,0.20089880654202877,17.095590277777777,16.562395833333333,,,,,,,19913.61408621316,120.47253472222222,,
2025-05-04 03:59:59,112.10253472222222,0,88,93.9017013888889,85.00347222222223,85.06875,85,95,0,70,0.0011712485101010102,0.00005018400173611111,0.8998576001027986,0.827751751786753,0.06296658210339956,0.14446986057076397,12.147048611111112,10.000003814697266,,,,,,,19779.214651336417,113.84034722222222,,
2025-05-05 03:59:59,113.42409722222222,0,88.27753472222223,95,84.99361111111111,85.048125,85,95,0,70,0.0011468037751736111,0.00002763323464912281,0.9023327947199196,0.8813913267236081,0.06350520669553014,0.16139297522296242,8.089964934587478,7.002118055555556,,,,,,,19952.716257227865,113.91854166666667,,
2025-05-06 03:59:59,113.06961805555555,0,89.01163194444445,95,84.99895833333333,85.08736111111111,85,95,0,70,0.001214935573725868,0.00006496673002252022,0.9002897454913528,0.8036498903382483,0.07225191195751188,0.17240589402176973,11.387222222222222,10.534967051744461,,,,,,,19936.727207472457,116.01461805555556,,
2025-05-07 03:59:59,113.32170138888888,0,89,93.02802083333333,85.00069444444445,85.08979166666667,85,95,0,70,0.0013040698650847542,0.00006625564945937222,0.8781025829004014,0.8792077661974887,0.06331974030851668,0.19375226673629095,16.71173611111111,14.549027777777777,,,,,,,20145.918181549656,118.33100694444444,,
2025-05-08 03:59:59,112.28805555555556,0,88.08975694444445,93.55597222222222,85.00104166666667,85.10888888888888,85,95,0,70,0.0012620283586802306,0.00015153537927350426,0.9213721165460784,0.8504132201294932,0.0641125148570433,0.1798928480819299,11.638541666666667,10.336287254095078,,,,,,,19826.44798199558,114.9895486111111,,
2025-05-09 03:59:59,113.65777777777778,0,88.48239583333333,95,84.99965277777778,85.06055555555555,85,95,0,70,0.0012619420028591156,0.000051265098334977894,0.9495885130407525,0.8264462113380432,0.06447380558215818,0.1684125787203407,8.23638798713684,7.627430555555556,,,,,,,19923.447667487268,112.60045138888889,,
2025-05-10 03:59:59,113.30875,0,89,94,85.00104166666667,85.09013888888889,85,95,0,70,0.0013571528128076854,0.00007950942909944585,0.8996754344718324,0.83830877550907,0.07268014582223259,0.18091570729720924,11.7140625,11.09,,,,,,,20013.9387893936,116.38151041666667,,
